N„–  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
179 |* gam02 Vel                        |WR*|08 09 31.95013 -47 20 11.7108          | 0.64 | 1.58 | 1.83 | 1.85 | 2.00 |WC8+O7.5III-V        | 847 |   0
180 |* eta Aps                          |PM*|14 18 13.8951765209 -81 00 27.927600462|     ~| 5.130| 4.889|     ~|     ~|A2mA7-F2             |  45 |   0
181 |* 70 Aql                           |*  |20 36 43.6339444744 -02 32 59.834172996|     ~| 6.475| 4.880|     ~|     ~|K4+IIIBa1            |  71 |   0
182 |* tau Aur                          |*  |05 49 10.4382558 +39 10 51.862703      | 6.160| 5.450| 4.500| 3.80 | 3.31 |G8IIIbFe-1           | 138 |   0
183 |* lam Cet                          |*  |02 59 42.8998715 +08 54 26.489871      | 4.13 | 4.58 | 4.70 | 4.72 | 4.70 |B6III                |  91 |   0
184 |* gam Ori                          |V* |05 25 07.86325 +06 20 58.9318          | 0.54 | 1.42 | 1.64 | 1.73 | 1.95 |B2V                  | 498 |   0
185 |* zet Oph                          |Be*|16 37 09.5390545 -10 34 01.529471      | 1.73 | 2.58 | 2.56 | 2.46 | 2.50 |O9.2IVnn             |1731 |   2
186 |* eta Scl                          |LP*|00 27 55.6981983820 -33 00 25.790033840| 8.26 | 6.45 | 4.81 | 3.22 | 1.84 |M2/3III              |  53 |   0
187 |* gam Dra                          |*  |17 56 36.36988 +51 29 20.0242          | 5.630| 3.760| 2.230| 1.08 | 0.23 |K5III                | 518 |   0
188 |* pi. Hya                          |PM*|14 06 22.2974865 -26 40 56.502378      | 5.45 | 4.41 | 3.28 | 2.40 | 1.85 |K2-IIIFe-0.5         | 129 |   0
189 |* sig Dra                          |PM*|19 32 21.5902990 +69 39 40.234737      | 5.860| 5.460| 4.680| 4.04 | 3.63 |K0V                  | 583 |   0
190 |* kap Psc                          |a2*|23 26 55.9557928466 +01 15 20.174323477| 4.94 | 4.98 | 4.94 | 4.87 | 4.90 |A2VpSrCrSi           | 255 |   0
191 |* del Aqr                          |PM*|22 54 39.0114202204 -15 49 14.848081697| 3.41 | 3.33 | 3.28 | 3.21 | 3.17 |A3Vp                 | 143 |   0
192 |* omi Her                          |Be*|18 07 32.5507266 +28 45 44.967843      | 3.74 | 3.802| 3.827|     ~|     ~|B9.5III              | 142 |   0
193 |* bet Lup                          |PM*|14 58 31.92536 -43 08 02.2699          | 1.59 | 2.46 | 2.68 | 2.78 | 2.95 |B2III                | 177 |   0
194 |* del Cas                          |Al*|01 25 48.9514709 +60 14 07.022507      | 2.930| 2.810| 2.680| 2.53 | 2.44 |A5IV                 | 246 |   0
195 |* bet Mon A                        |Be*|06 28 49.0688084600 -07 01 59.016107399| 3.87 | 4.50 | 4.60 |     ~|     ~|B4Veshell            | 240 |   0
196 |* chi Lup                          |SB*|15 50 57.5382881 -33 37 37.795321      | 3.77 | 3.909| 3.946|     ~|     ~|B9III                | 288 |   0
197 |* bet Hya                          |a2*|11 52 54.52149 -33 54 29.2672          | 3.85 | 4.18 | 4.28 | 4.27 | 4.35 |kB8hB8HeA0VSi        |  93 |   0
198 |* bet Lib                          |PM*|15 17 00.41382 -09 22 58.4919          | 2.14 | 2.51 | 2.62 | 2.67 | 2.76 |B8Vn                 | 258 |   0
199 |* E Car                            |Be*|09 05 38.3726704575 -70 32 18.583230443| 3.75 | 4.500| 4.652|     ~|     ~|B2(IV)n              |  88 |   0
200 |* N Sco                            |V* |16 31 22.9330023 -34 42 15.714620      | 3.30 | 4.06 | 4.23 | 4.29 | 4.41 |B2III-IV             | 130 |   0
201 |* bet CMi                          |Be*|07 27 09.0417373 +08 17 21.536745      | 2.52 | 2.80 | 2.89 | 2.90 | 2.96 |B8Ve                 | 361 |   0
202 |* sig And                          |** |00 18 19.6574549 +36 47 06.810654      | 4.64 | 4.57 | 4.52 | 4.44 | 4.44 |A2V                  | 135 |   0
203 |* ksi Hya                          |** |11 33 00.1150559 -31 51 27.443449      | 5.17 | 4.47 | 3.54 | 2.84 | 2.36 |G7IIIb               | 231 |   0
204 |* phi Cen                          |V* |13 58 16.2668006 -42 06 02.714311      | 2.79 | 3.608| 3.802|     ~|     ~|B2IV                 | 131 |   0
205 |* eps CMi                          |*  |07 25 38.8983779502 +09 16 33.926803399|     ~| 5.990| 4.986|     ~|     ~|G6IIb                |  92 |   0
206 |* 31 Vul                           |SB*|20 52 07.6835241741 +27 05 48.995100470|     ~| 5.399| 4.568|     ~|     ~|G7IIIFe-1            | 131 |   0
207 |* del TrA                          |*  |16 15 26.2697841 -63 41 08.449198      |     ~| 4.943| 3.839|     ~|     ~|G2Ib-IIa             |  97 |   0
208 |* 30 Vul                           |SB*|20 44 52.5042331234 +25 16 14.253818578| 7.28 | 6.10 | 4.91 | 4.06 | 3.48 |K1III                |  84 |   0
209 |* bet Mus A                        |** |12 46 16.866264 -68 06 29.14884        |     ~| 3.38 | 3.55 |     ~|     ~|B2V                  |   1 |   0
210 |* omi And                          |Be*|23 01 55.2645930 +42 19 33.533383      | 3.00 | 3.53 | 3.62 | 3.61 | 3.69 |B6IV/V_sh            | 412 |   0
211 |* lam Ari                          |PM*|01 57 55.7164654 +23 35 45.829535      |     ~| 5.053| 4.766|     ~|     ~|F0V                  |  92 |   0
212 |* phi Sgr                          |PM*|18 45 39.3861043 -26 59 26.794441      | 2.69 | 3.050| 3.140|     ~|     ~|B8III                | 109 |   0
213 |* bet Cnc                          |PM*|08 16 30.9210081 +09 11 07.957924      | 6.750| 5.000| 3.520| 2.42 | 1.62 |K4IIIBa0.5:          | 342 |   0
214 |* psi02 Ori                        |bC*|05 26 50.2291316549 +03 05 44.417664333| 3.45 | 4.398| 4.611|     ~|     ~|B2IV                 | 193 |   0
215 |* omi Vel                          |Pu*|08 40 17.5855320 -52 55 18.800233      | 2.8  | 3.44 | 3.63 |     ~|     ~|B3/5(V)              | 162 |   0
216 |* bet Aqr                          |*  |21 31 33.5317148 -05 34 16.232006      | 4.27 | 3.71 | 2.89 | 2.29 | 1.84 |G0Ib                 | 432 |   0
217 |* nu. Her                          |LP*|17 58 30.1490931 +30 11 21.387017      | 4.95 | 4.80 | 4.41 | 4.01 | 3.78 |F2II                 | 170 |   0
218 |* bet Leo                          |dS*|11 49 03.57834 +14 34 19.4090          | 2.30 | 2.22 | 2.13 | 2.08 | 2.06 |A3Va                 | 542 |   0
219 |* 60 Her                           |PM*|17 05 22.6906587508 +12 44 26.981639397|     ~| 5.001| 4.871|     ~|     ~|A3V                  | 116 |   0
220 |* J Pup                            |*  |07 53 18.1579197 -48 06 10.563676      | 3.11 | 4.10 | 4.24 | 4.26 | 4.38 |B0.5Ib               | 219 |   0
221 |* x Car                            |cC*|11 08 35.3899998 -58 58 30.135741      | 6.07 | 5.09 | 3.83 | 2.86 | 2.27 |G5_0-Ia              | 141 |   0
222 |* o Ori                            |SB*|05 21 45.7486099227 -00 22 56.910484984| 3.79 | 4.58 | 4.74 | 4.79 | 4.97 |B2IV                 | 220 |   0
223 |* 54 Per                           |*  |04 20 24.6388546231 +34 34 00.203335487|     ~| 5.867| 4.929|     ~|     ~|G8+IIIb              | 130 |   0
224 |* alf Cha                          |PM*|08 18 31.5531890 -76 55 10.996432      |     ~| 4.448| 4.047|     ~|     ~|F5VFe-0.8            |  92 |   0
225 |HD 60532                           |PM*|07 34 03.1802404179 -22 17 45.838378187| 5.02 | 4.94 | 4.39 |     ~|     ~|F6IV-V               | 198 |   1
226 |* 25 CVn A                         |PM*|13 37 27.6270552212 +36 17 41.632517494|     ~| 5.165| 4.953|     ~|     ~|A7III                |   6 |   0
227 |* zet Ind                          |*  |20 49 28.9616460364 -46 13 36.608310097|     ~| 6.390| 4.882|     ~|     ~|K5III                |  38 |   0
228 |* alf01 Cap                        |** |20 17 38.8690959065 -12 30 29.571594020| 6.14 | 5.34 | 4.27 | 3.49 | 2.94 |G3Ib                 | 131 |   0
229 |* 52 Her A                         |PM*|16 49 14.2161790088 +45 58 59.930076279|     ~| 4.907| 4.826|     ~|     ~|~                    |   5 |   0
230 |* eps Aur                          |Al*|05 01 58.1290610816 +43 49 23.871349520| 3.86 | 3.53 | 2.99 | 2.47 | 2.02 |A9Ia                 | 557 |   0
231 |* iot Gem                          |** |07 25 43.5953160 +27 47 53.092849      | 5.67 | 4.83 | 3.79 | 3.02 | 2.52 |G9IIIb               | 199 |   0
232 |* bet Lep                          |** |05 28 14.7231588 -20 45 33.987791      | 4.13 | 3.66 | 2.84 | 2.19 | 1.75 |G5II-IIIa:           | 228 |   0
233 |* s Car                            |V* |10 27 52.7287652 -58 44 21.850672      |     ~| 4.111| 3.810|     ~|     ~|F2II                 |  83 |   0
234 |* ups04 Eri                        |SB*|04 17 53.6624067 -33 47 54.056903      | 3.07 | 3.44 | 3.56 | 3.57 | 3.68 |B9V                  | 141 |   0
235 |* 31 Boo                           |V* |14 41 38.7504908982 +08 09 42.340850402|     ~| 5.866| 4.862|     ~|     ~|G7IIIa               | 151 |   0
236 |* 24 Lyn                           |PM*|07 43 00.4155061 +58 42 37.295002      |     ~| 5.024| 4.947|     ~|     ~|A3IVn                |  69 |   0
237 |* zet Cen                          |SB*|13 55 32.38565 -47 17 18.1482          | 1.42 | 2.33 | 2.55 | 2.69 | 2.89 |B2.5IV               | 164 |   0
238 |* ksi Oph                          |PM*|17 21 00.3752009 -21 06 46.566283      |     ~| 4.752| 4.387|     ~|     ~|F2V                  | 125 |   0
239 |* 58 Oph                           |PM*|17 43 25.7937012 -21 40 59.497954      |     ~| 5.313| 4.861|     ~|     ~|F5V                  | 130 |   0
240 |* 78 Peg A                         |PM*|23 43 59.4858216635 +29 21 41.252047758|     ~| 5.94 | 4.96 |     ~|     ~|~                    |   0 |   0
241 |* M Vel                            |PM*|09 36 49.5400392 -49 21 18.088075      | 4.64 | 4.52 | 4.35 | 4.20 | 4.10 |A7V                  |  50 |   0
242 |* ksi Leo                          |PM*|09 31 56.7402898522 +11 17 59.363823394|     ~| 6.015| 4.963|     ~|     ~|G9.5III              | 104 |   0
243 |* k01 Pup                          |*  |07 38 49.3799455697 -26 48 06.351393619| 3.76 | 4.33 | 4.50 |     ~|     ~|B6V                  |  60 |   0
244 |V* HR Del                          |No*|20 42 20.3467536529 +19 09 39.304605595|     ~|12.46 | 3.70 |12.69 |     ~|~                    | 461 |   0
245 |* bet Vol                          |PM*|08 25 44.1947206 -66 08 12.804954      |     ~| 4.896| 3.759|     ~|     ~|K2III                |  76 |   0
246 |* tau Cas                          |PM*|23 47 03.4547470384 +58 39 07.153067168|     ~| 5.993| 4.873|     ~|     ~|K1-IIIa              |  98 |   0
247 |HD 102839                          |*  |11 49 56.6145709308 -70 13 32.831577564|     ~| 6.333| 4.964|     ~|     ~|G6Ib                 |  34 |   0
248 |* bet Boo                          |Fl*|15 01 56.7623786 +40 23 26.040607      | 5.21 | 4.47 | 3.52 | 2.85 | 2.37 |G8IIIaFe-0.5         | 240 |   0
249 |* 95 Her A                         |*  |18 01 30.4086207073 +21 35 44.802253558|     ~| 4.98 | 4.83 |     ~|     ~|~                    |  50 |   0
250 |* tau02 Eri                        |PM*|02 51 02.3218611 -21 00 14.465462      | 6.28 | 5.67 | 4.77 | 4.07 | 3.60 |K0III                |  79 |   0
251 |* b02 Aqr                          |PM*|23 26 02.7856603 -20 38 31.263033      | 7.65 | 5.86 | 4.39 | 3.27 | 2.46 |K4.5III              |  52 |   0
252 |HD 12055                           |PM*|01 57 10.0849056969 -47 23 07.093647763|     ~| 5.695| 4.834|     ~|     ~|G6III-IIIb           |  38 |   0
253 |* gam Tuc                          |PM*|23 17 25.7507806263 -58 14 08.707239934| 4.35 | 4.37 | 3.98 | 3.57 | 3.33 |F4V                  | 148 |   0
254 |* 54 Leo                           |** |10 55 36.79658 +24 44 58.9823          |     ~| 4.34 | 4.32 |     ~|     ~|A1                   |  21 |   0
255 |* H Pup                            |PM*|07 03 53.6007468540 -49 35 02.180790164|     ~| 5.045| 4.925|     ~|     ~|A4IV                 |  40 |   0
256 |* zet CrA                          |PM*|19 03 06.8769803 -42 05 42.385816      |     ~| 4.701| 4.725|     ~| 4.76 |B9.5Vann             |  64 |   0
257 |* 1 Vul                            |SB*|19 16 13.0378496330 +21 23 25.531302636| 4.18 | 4.72 | 4.77 | 4.76 | 4.83 |B4IV                 | 111 |   0
258 |* tau01 Eri                        |PM*|02 45 06.2034405658 -18 34 21.478629972| 4.94 | 4.94 | 4.46 | 4.03 | 3.76 |F7V                  | 209 |   0
259 |* i Dra                            |LP?|13 51 25.9393781 +64 43 23.772696      | 8.12 | 6.23 | 4.66 | 3.05 | 1.69 |M3.5III              | 110 |   0
260 |* 5 CVn                            |*  |12 24 01.4946052553 +51 33 44.115130783|     ~| 5.643| 4.761|     ~|     ~|G7IIIBa0.3           | 137 |   0
261 |* iot Lup                          |V* |14 19 24.2221950 -46 03 29.143666      | 2.65 | 3.355| 3.529|     ~|     ~|B2.5IV               | 102 |   0
262 |* tet Gem                          |PM*|06 52 47.3388710 +33 57 40.517462      | 3.84 | 3.70 | 3.60 | 3.50 | 3.42 |A2IV                 | 123 |   0
263 |* c Leo                            |PM*|11 00 44.8022299767 +06 06 05.216316722|     ~| 5.133| 4.977|     ~| 4.80 |A5III                |  49 |   0
264 |* 54 Eri                           |LP*|04 40 26.5115872790 -19 40 17.372298494| 7.80 | 5.90 | 4.30 | 2.81 | 1.40 |M3/4III              |  66 |   0
265 |* 23 Ori                           |SB*|05 22 50.0047401166 +03 32 39.976975214| 3.99 | 4.86 | 5.00 | 5.05 | 5.23 |B2IV/V               | 231 |   0
266 |HD 42818                           |PM*|06 18 50.7763037 +69 19 11.231041      |     ~| 4.770| 4.757|     ~|     ~|A0Vn                 |  70 |   0
267 |* gam01 Leo                        |PM*|10 19 58.354462 +19 50 29.35920        | 4.13 | 3.13 | 1.98 | 1.13 | 0.51 |K1-IIIFe-1           | 270 |   1
268 |* g Dra                            |*  |16 40 55.1189266 +64 35 20.560563      |     ~| 6.045| 4.842|     ~|     ~|K0IIICN-0.5CH-2Ca1   |  67 |   0
269 |* eta Ara                          |*  |16 49 47.1565275 -59 02 28.957499      |     ~| 5.306| 3.744|     ~|     ~|K5III                |  61 |   0
270 |* bet Dor                          |cC*|05 33 37.5125319201 -62 29 23.323100433| 5.13 | 4.58 | 3.76 | 3.55 | 3.12 |F8/G0Ib              | 345 |   0
271 |V* R Cas                           |Mi*|23 58 24.8700291935 +51 23 19.691977266| 6.71 | 6.63 | 4.80 |     ~|     ~|M6.5-9e              | 678 |   0
272 |* del Sgr                          |*  |18 20 59.6435424 -29 49 41.165919      |     ~| 4.069| 2.668|     ~|     ~|K2.5IIIaCN0.5        | 161 |   0
273 |* l Cen                            |** |12 39 52.5283944 -39 59 14.290592      | 4.16 | 4.56 | 4.64 | 4.66 | 4.75 |B8II/III             | 104 |   0
274 |* gam Cru                          |PM*|12 31 09.95961 -57 06 47.5684          | 5.01 | 3.23 | 1.64 |-0.02 |-1.44 |M3.5III              | 264 |   0
275 |* gam Cae                          |** |05 04 24.40218 -35 28 58.7161          | 6.94 | 5.75 | 4.55 | 3.64 | 2.99 |K2.5IIIb+G8IV        |  42 |   0
276 |* eta Cet                          |HB*|01 08 35.3914827 -10 10 56.156955      | 5.80 | 4.61 | 3.45 | 2.61 | 2.03 |K2-IIIb              | 198 |   0
277 |* 1 Lac                            |V* |22 15 58.1767311 +37 44 55.438542      | 7.24 | 5.61 | 4.15 | 3.15 | 2.43 |K3-II-III            |  95 |   0
278 |NGC 3114                           |OpC|10 02 36.0 -60 07 12                   |     ~| 4.47 | 4.2  |     ~|     ~|~                    | 168 |   0
279 |* zet Vol                          |*  |07 41 49.2610042 -72 36 21.956661      |     ~| 4.977| 3.944|     ~|     ~|G9IIIb               |  62 |   0
280 |* 106 Her                          |PM*|18 20 17.9148178279 +21 57 40.662235772| 8.54 | 6.54 | 4.96 | 3.62 | 2.62 |M1III                |  90 |   0
281 |* omi Vir                          |PM*|12 05 12.5404884 +08 43 58.749788      | 5.75 | 5.11 | 4.12 | 3.38 | 2.89 |G8IIICN0.5CH1Ba1     | 267 |   0
282 |* zet Aqr                          |** |22 28 49.90685 -00 01 11.7942          |     ~| 4.06 | 3.65 |     ~|     ~|F3III-IV             | 125 |   0
283 |* iot Oph                          |PM*|16 54 00.4715122 +10 09 55.298255      | 3.98 | 4.30 | 4.38 |     ~|     ~|B8V                  |  99 |   0
284 |* 16 Com                           |*  |12 26 59.2961544883 +26 49 32.527285792|     ~| 5.045| 4.959|     ~| 4.93 |A4V                  | 144 |   0
285 |* d Dra                            |*  |18 32 34.5219746437 +57 02 44.141592388|     ~| 5.380| 4.761|     ~|     ~|F8Ib-II              | 132 |   0
286 |* 26 Hya                           |** |09 19 46.3830936289 -11 58 29.457677142|     ~| 5.703| 4.770|     ~|     ~|G7III                |  68 |   0
287 |* iot Cru                          |PM*|12 45 38.0501902327 -60 58 52.753628626|     ~| 5.738| 4.686|     ~|     ~|K0III                |  33 |   0
288 |* iot Ant                          |PM*|10 56 43.0509748389 -37 08 15.952141940| 6.47 | 5.63 | 4.60 | 3.85 | 3.32 |K0III                |  43 |   0
289 |* 34 Boo                           |LP*|14 43 25.3630456 +26 31 40.266331      | 8.44 | 6.46 | 4.79 | 3.37 | 2.11 |M3-III               | 106 |   0
290 |* lam Lep                          |*  |05 19 34.5240485 -13 10 36.440791      | 3.03 | 4.04 | 4.29 | 4.41 | 4.69 |B0.5V                | 271 |   0
291 |* 13 Vul                           |*  |19 53 27.6962168153 +24 04 46.613020570| 4.39 | 4.57 | 4.64 |     ~|     ~|B9.5III              |  88 |   0
292 |* del Ret                          |V* |03 58 44.7494486 -61 24 00.667328      | 8.15 | 6.19 | 4.57 | 3.23 | 2.19 |M1.5III              |  45 |   0
